user_id,signup_timestamp,email,ip_address,user_agent,session_duration_seconds,pages_viewed,form_fill_time_seconds,mouse_movements,typing_speed_cpm,screen_resolution,timezone_offset,is_vpn,referral_source,profile_completeness,has_profile_photo,bio_length,email_has_numbers,email_length,ip_signup_count_24h,device_signup_count_24h,claimed_country,ip_country,country_mismatch,is_fraud
6252,2024-05-04 03:31:00,mike.miller643@yahoo.com,131.76.114.28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",289,11,100,552,288,1440x900,-6,False,linkedin,0.7155196310731764,True,134,True,14,2,1,NG,NG,False,False
4684,2024-10-28 10:52:00,sarah.smith145@outlook.com,129.28.220.156,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,108,12,140,313,166,1440x900,-7,False,facebook,0.7831693843271166,True,231,True,14,0,0,NG,NG,False,False
1731,2024-07-23 18:44:00,jane.johnson975@gmail.com,177.7.3.179,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",534,8,205,963,395,1366x768,-4,False,email,0.6544537154197663,True,161,True,15,2,1,UK,UK,False,False
4742,2024-06-23 05:10:00,chris.johnson981@yahoo.com,122.82.29.78,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,359,3,107,167,221,1440x900,1,False,twitter,0.6452335204056154,False,235,True,16,1,1,CA,CA,False,False
4521,2024-06-07 01:24:00,anna.garcia703@icloud.com,176.75.104.115,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",361,2,168,597,318,2560x1440,5,False,facebook,0.9416738978415953,False,441,True,14,0,0,PK,PK,False,False
6340,2024-07-02 16:24:00,jane.davis739@gmail.com,83.128.229.192,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",460,11,282,328,394,1920x1080,-5,False,google,0.9981816720038903,False,355,True,13,2,1,UK,UK,False,False
576,2024-10-08 13:22:00,david.garcia789@icloud.com,193.111.214.231,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,431,12,84,780,376,1536x864,3,False,direct,0.6960866832178056,False,303,True,15,1,1,NG,NG,False,False
5202,2024-02-29 03:42:00,david.smith840@hotmail.com,22.80.246.218,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",536,4,52,767,236,1440x900,3,False,linkedin,0.6146645591182636,False,499,True,14,2,1,FR,FR,False,False
6363,2024-03-07 01:04:00,john.jones218@icloud.com,30.203.208.12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",384,14,215,595,177,1920x1080,8,False,google,0.5141439437504398,True,110,True,13,2,1,FR,FR,False,False
439,2024-02-26 03:50:00,john.brown54@icloud.com,6.64.79.89,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,410,8,34,544,272,1440x900,2,False,google,0.880449948567718,True,128,True,12,2,0,DE,DE,False,False
2750,2024-07-15 22:13:00,emma.garcia209@hotmail.com,97.75.117.18,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,283,13,269,304,311,2560x1440,2,False,referral,0.715876103258485,True,446,True,14,2,1,IN,IN,False,False
7487,2024-07-12 16:37:00,anna.miller166@icloud.com,26.182.249.17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",127,12,135,597,268,1536x864,0,False,facebook,0.7174881413722993,True,203,True,14,2,1,PK,PK,False,False
5272,2024-10-12 08:07:00,chris.johnson752@yahoo.com,190.28.234.92,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",127,12,250,896,381,2560x1440,-7,False,email,0.5554484072404843,True,162,True,16,0,0,DE,DE,False,False
5653,2024-10-02 05:13:00,mike.williams389@hotmail.com,7.26.240.78,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",328,2,233,210,228,1440x900,-6,False,google,0.8758565122660521,True,230,True,16,0,0,CA,CA,False,False
3999,2024-07-22 12:53:00,chris.smith131@yahoo.com,148.141.229.155,"Mozilla/5.0 (iPad; CPU OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",261,11,101,574,395,1920x1080,9,False,twitter,0.7621546744608128,False,394,True,14,0,1,PK,PK,False,False
